country_code	reg_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
840	53053	Pierce	2.24441259222963	2.28633292510729	2.26603252177671	2.23751045509723	2.15184275304216	2.07500572643589	2.02719827659236	2.06779908325353	2.07754327685221	2.11398250083061	2.05186326663902	2.08353189583474	2.02811179474223	1.98588695581461	1.98274039329837	1.96528204643407	1.96873311500027	2.06526153283721	2.0424235790903	2.09368209750003	2.07957331718527	1.90062526182615	2.05551733923853	1.93919602815427	1.96883461701692	1.99096205664726	1.96213548391783	1.93797800395443	1.85007725753299	1.80653289238888	1.75121429331304	1.72979736779927	1.7172111177343	1.71213601690166
840	53055	San Juan	2.151	1.8607	2.1562	2.1641	2.2152	2.1594	2.0234	1.7971	1.9821	2.0443	1.5055	1.7496	1.9717	1.5184	1.5821	1.6935	1.8374	1.5653	1.9693	1.6175	1.3826	1.6636	1.2502	1.1046	1.5746	1.2045	1.2199	1.2302	1.0717	1.1683	1.4025	1.2883	1.2964	1.3879
840	53057	Skagit	2.2722	2.3309	2.4224	2.3847	2.1893	2.2057	2.2252	2.1357	2.2007	2.2628	2.1319	2.2533	2.2132	2.0944	2.1084	2.2098	2.2077	2.2424	2.2797	2.3207	2.2061	2.1564	2.1395	2.1091	2.0902	2.0082	2.0991	2.0906	1.9351	1.8507	1.849	1.8173	1.8649	1.844
840	53059	Skamania	2.6806	1.9701	2.1249	1.8903	1.9751	1.7484	1.6202	1.4654	1.9158	2.5464	2.369	2.1269	2.2769	2.0435	2.0577	1.685	1.9074	2.1947	2.2673	2.1033	2.1764	2.0085	1.9677	2.011	1.8899	1.5028	1.9507	1.801	1.7149	1.9256	1.5241	1.5096	1.4978	1.5721
840	53061	Snohomish	2.1467	2.1395	2.1557	2.0957	2.0416	1.979	1.9513	1.9901	2.0372	2.0498	2.0291	2.0388	1.9951	1.9536	1.984	1.9625	1.9504	2.0154	2.0763	2.0266	1.9551	1.8789	1.8554	1.8818	1.8987	1.8832	1.8945	1.8634	1.7842	1.7649	1.6725	1.6206	1.7182	1.6777
840	53063	Spokane	2.05691911926462	2.09645118550201	2.12346650253495	2.04732294487455	2.0404387328121	1.96846742488651	2.00956408477445	2.02635738995709	2.05358131947677	2.02802628985102	2.00549614128301	2.0125889658322	1.92883105240575	1.94374684520772	1.91829612182534	1.92486741515768	1.90932578489548	2.00507891630953	1.97170091843099	1.95250856965084	1.92455449642756	1.87448749960976	1.832034858558	1.91923487801567	1.87041955611832	1.82567217771241	1.84726357009009	1.82212576543781	1.72188746555884	1.66462333794849	1.63260132123377	1.62310945308706	1.64709988906225	1.65252381371752
840	53065	Stevens	2.7476	2.2531	2.5302	2.4357	2.5833	2.432	2.5724	2.478	2.4964	2.3318	2.4854	2.2655	2.5343	2.2756	2.6471	2.5394	2.3028	2.6558	2.492	2.1631	2.3725	2.2185	2.3645	2.2642	2.3363	2.3982	2.3124	2.2536	2.1768	2.0389	1.9631	1.9528	2.0753	2.2322
840	53067	Thurston	1.9451	1.885	1.9084	1.9004	1.8948	1.8294	1.7746	1.8301	1.7663	1.8243	1.8107	1.8875	1.7284	1.7277	1.8085	1.6938	1.6897	1.7889	1.7823	1.8751	1.8246	1.7233	1.8265	1.7573	1.7326	1.7353	1.6795	1.6924	1.6106	1.5885	1.532	1.5341	1.539	1.4573
840	53069	Wahkiakum	2.3265	2.7053	2.6797	1.6605	2.7633	3.1339	2.2394	2.9996	2.5158	2.3169	2.4365	2.0234	1.9559	1.4607	2.5722	2.5089	2.4413	2.1859	2.1698	2.5455	2.4632	2.8184	2.0519	2.7688	2.2267	1.4275	1.9405	1.2	1.9162	1.365	1.2218	1.4756	1.7371	1.7705
840	53071	Walla Walla	2.0081483179714	1.95008641132595	2.26838261897945	1.98851587471719	2.11612675586961	2.09670316839469	2.21669081360265	2.20008677914829	2.08364968218843	2.09471903849134	1.98851587471719	2.06850763818916	2.13273079032397	2.05096375272794	2.1065193900218	2.11717103476611	2.09994043297384	1.92533700147888	2.04897962282459	2.0546187288657	1.83939284829684	2.004388913944	1.90382485621095	1.96648159000101	1.95823178671866	1.99843652423394	1.87468947499858	1.94716243041575	1.84315225232425	1.73997749734995	1.72786386215054	1.68577942262155	1.71324395759952	1.63492304036195
840	53073	Whatcom	1.79270541972307	1.812889304101	1.91129881290741	1.84258994225299	1.80776489822266	1.84332200023561	1.72566982445749	1.72786599840535	1.84384489879462	1.84258994225299	1.71123782422871	1.74773614364788	1.67557614250396	1.71019202711068	1.7677108686022	1.65873880890372	1.72619272301651	1.71270194019395	1.69032188186816	1.69481880947567	1.69387759206945	1.72472860705127	1.73999724497447	1.66030750458076	1.65549683783783	1.69074020071537	1.7034989255553	1.61450159081115	1.54621103900394	1.43818019671168	1.33590123856857	1.3974986888204	1.40094981930989	1.31519445563162
840	53075	Whitman	1.2817	1.3678	1.5122	1.3745	1.5121	1.3757	1.5388	1.3302	1.3472	1.323	1.4707	1.3174	1.3071	1.5617	1.3347	1.4201	1.3829	1.5104	1.5835	1.4887	1.4509	1.5039	1.3722	1.6574	1.4254	1.4455	1.3583	1.4341	1.3387	1.1511	1.1876	1.1775	1.3806	1.3285
840	53077	Yakima	2.8844	3.0232	3.1081	3.0362	2.9885	2.8336	2.7559	2.8053	2.8072	2.9078	2.8176	2.8125	2.745	2.632	2.7319	2.6728	2.6453	2.7783	2.8149	2.7101	2.7536	2.7126	2.5963	2.4644	2.4685	2.5049	2.454	2.3194	2.3103	2.1451	2.1347	2.0034	1.9992	1.9841
